Node,Disp_X,Disp_Y,Disp_Z,Rot_X,Rot_Y,Rot_Z
30,0.35625005577336816,-7.904397298994994e-08,-1.7440662157703397,4.538671062943507e-08,0.030061940715605258,1.126712770195599e-09
31,0.992560826084929,2.868766669224796e-07,-2.7851115073080375,-8.483809003383828e-08,0.44912266623809394,3.5735856711732487e-10
32,1.0098934376526412,2.8774943058038636e-07,-5.489840173614659,-8.580995375313441e-08,0.3322088627396245,3.298248988511992e-10
33,1.0368584437460222,2.8973055933581474e-07,-4.1151148327655145,-8.670913696614299e-08,0.09352647074266304,3.205545912916718e-10
34,0.9925608243253515,2.234668774457693e-07,-5.010485293383314,-6.642493887797597e-08,0.6007998184146411,5.473204910951192e-11
35,1.0098934361150222,2.236848196144427e-07,-9.111702825834259,-6.734536037667016e-08,0.3616094539373848,2.309865127066673e-10
36,1.0368584420110671,2.2610903689599108e-07,-7.082323538015717,-6.810777899807182e-08,-0.029486903748171468,6.176070346550339e-10
37,0.9925608254793803,-1.144636174332348e-07,-5.0923622328109,3.4422328249183846e-08,0.610135474547599,-4.1713825617168666e-10
38,1.009893434883208,-1.1461220585845104e-07,-9.241676006499603,3.41771236993792e-08,0.3672078043614416,2.8490097687244385e-10
39,1.036858436680327,-1.1017637026682652e-07,-7.190239747562415,3.317986632263857e-08,-0.03318238588603193,1.4367641698907777e-09
40,0.9925608286836374,-4.2050040718346737e-07,-3.854989045654929,1.2522862337231937e-07,0.5212472349297046,-3.331718328483148e-10
41,1.0098934332712475,-4.2001751784632665e-07,-7.24298138114983,1.254844462727403e-07,0.33902979624839025,4.885229796931767e-10
42,1.036858427611735,-4.1443175208503373e-07,-5.544107595076546,1.2436681251413944e-07,0.027699248598980656,1.7780076503644961e-09
43,0.9925608295570085,-2.740473889544804e-07,-1.9527054841456888,8.148955955265329e-08,0.3925489800532172,-4.976155231286319e-11
44,1.0098934317619697,-2.7315400679814274e-07,-4.053060289682229,8.157280513202511e-08,0.32299306267566363,5.522284394808479e-10
45,1.0368584223456598,-2.680272526505219e-07,-2.9726791313130936,8.06620823010607e-08,0.1411950547947874,1.5632380841813697e-09
