Element_ID,Type,Location,Axial_Force,Shear_Y,Shear_Z,Torsion,Moment_Y,Moment_Z
60,Column,Inicio,2.4314646083312836,3.749678166216647,33.52403679719033,-21.712878700230466,2.6176171423964893,-7.467364086706711e-18
60,Column,Centro,0.0,0.0,0.0,-5.62451724932497,3.6471969124969257,0.0
60,Column,Final,-2.4314646083312836,-3.749678166216647,-33.52403679719033,10.463844201580525,4.676776682597362,7.467364086706711e-18
61,Column,Inicio,0.40048382354848533,4.092709479493334,99.64504329459002,11.855212292096041,0.15507895121547144,-3.056030413018245e-18
61,Column,Centro,0.0,0.0,0.0,-6.139064219240002,0.600725735322728,0.0
61,Column,Final,-0.40048382354848533,-4.092709479493334,-99.64504329459002,-24.133340730576045,1.0463725194299847,3.056030413018245e-18
62,Column,Inicio,1.659079588519166,4.041868574271412,167.1755222303604,10.365879178925592,1.7132998323773638,-3.2844505640250677e-18
62,Column,Centro,0.0,0.0,0.0,-6.062802861407118,2.488619382778749,0.0
62,Column,Final,-1.659079588519166,-4.041868574271412,-167.1755222303604,-22.491484901739828,3.263938933180134,3.2844505640250677e-18
63,Column,Inicio,2.0030007678962694,-0.6615042160864257,173.10857368550472,2.7407281972781252,2.1835517736961187,-4.105173153720045e-18
63,Column,Centro,0.0,0.0,0.0,0.9922563241296387,3.004501151844404,0.0
63,Column,Final,-2.0030007678962694,0.6615042160864257,-173.10857368550472,-0.7562155490188478,3.825450529992689,4.105173153720045e-18
64,Column,Inicio,1.8483769159544323,-3.9475235864773066,170.18846910087834,-0.35009595933259696,1.970476660193336,-5.1185631560703964e-18
64,Column,Centro,0.0,0.0,0.0,5.92128537971596,2.7725653739316485,0.0
64,Column,Final,-1.8483769159544323,3.9475235864773066,-170.18846910087834,12.192666718764517,3.574654087669961,5.1185631560703964e-18
65,Column,Inicio,0.7924476452070188,-7.368335340966013,131.12225454997585,-15.366417227037438,0.6017547773107681,-3.0426358560395563e-18
65,Column,Centro,0.0,0.0,0.0,11.05250301144902,1.1886714678105283,0.0
65,Column,Final,-0.7924476452070188,7.368335340966013,-131.12225454997585,37.47142324993548,1.7755881583102888,3.0426358560395563e-18
66,Column,Inicio,-0.002769516998741617,-4.885955551670914,73.52995134217464,-10.472817397285503,-0.3307452060438555,-1.8216467550241275e-18
66,Column,Centro,0.0,0.0,0.0,7.3289333275063715,-0.004154275498112425,0.0
66,Column,Final,0.002769516998741617,4.885955551670914,-73.52995134217464,25.130684052298246,0.32243665504763064,1.8216467550241275e-18
67,Column,Inicio,-6.36535896363946,-0.8361501742687025,72.43378474209749,18.788184541224716,-7.858079900203737,-6.3327982595540335e-18
67,Column,Centro,0.0,0.0,0.0,1.2542252614030538,-9.548038445459191,0.0
67,Column,Final,6.36535896363946,0.8361501742687025,-72.43378474209749,-16.27973401841861,-11.237996990714645,6.3327982595540335e-18
68,Column,Inicio,-10.940946181322776,-0.8802762841033852,125.50303083672574,16.737497068229622,-13.837905215805801,-4.690137549013857e-18
68,Column,Centro,0.0,0.0,0.0,1.3204144261550779,-16.411419271984165,0.0
68,Column,Final,10.940946181322776,0.8802762841033852,-125.50303083672574,-14.096668215919467,-18.984933328162533,4.690137549013857e-18
69,Column,Inicio,-11.266057353915807,-0.04566250760223356,130.05707953218996,0.6160027022863341,-14.267244551954928,2.65443267188975e-18
69,Column,Centro,0.0,0.0,0.0,0.06849376140335034,-16.89908603087371,0.0
69,Column,Final,11.266057353915807,0.04566250760223356,-130.05707953218996,-0.47901517947963346,-19.530927509792495,-2.65443267188975e-18
70,Column,Inicio,-11.095839830819488,0.6066693190969499,127.80316799864424,-9.482263352748223,-14.044591630732821,1.0182415501656579e-17
70,Column,Centro,0.0,0.0,0.0,-0.9100039786454248,-16.643759746229232,0.0
70,Column,Final,11.095839830819488,-0.6066693190969499,-127.80316799864424,7.6622553954573736,-19.242927861725644,-1.0182415501656579e-17
71,Column,Inicio,-8.77660931683631,1.2437971175960705,97.21341443429273,-28.71848371157466,-11.016733541779189,1.0919976608215446e-17
71,Column,Centro,0.0,0.0,0.0,-1.8656956763941057,-13.164913975254468,0.0
71,Column,Final,8.77660931683631,-1.2437971175960705,-97.21341443429273,24.987092358786448,-15.313094408729746,-1.0919976608215446e-17
72,Column,Inicio,-4.597594904294113,0.817293931566045,52.4508682121292,-19.364637719269844,-5.559505695804775,7.591037783820369e-18
72,Column,Centro,0.0,0.0,0.0,-1.2259408973490675,-6.89639235644117,0.0
72,Column,Final,4.597594904294113,-0.817293931566045,-52.4508682121292,16.91275592457171,-8.233279017077566,-7.591037783820369e-18
73,Beam_X,Inicio,-1.8353217817234662,0.8755403772225427,3.2633711406379877,1.244980069436906e-19,-2.5800537335394846,1.94150387713881
73,Beam_X,Centro,0.0,0.0,2.25,0.0,-1.5200567109569816,1.3133105658338142
73,Beam_X,Final,1.8353217817234662,-0.8755403772225427,1.2366288593620123,-1.244980069436906e-19,-0.4600596883744785,0.6851172545288184
74,Beam_X,Inicio,-2.098807240183893,-0.3525659907686399,3.3719346322544683,5.491578158932373e-20,-2.0615228689581464,-0.2895618721065317
74,Beam_X,Centro,0.0,0.0,3.75,0.0,0.945163419363829,-0.8814149769215998
74,Beam_X,Final,2.098807240183893,0.3525659907686399,4.128065367745531,-5.491578158932373e-20,3.9518497076858043,-1.473268081736668
75,Beam_X,Inicio,-1.8353219750956982,0.8684831082985474,4.215490665736911,1.025413297189237e-19,-3.9188856990209553,1.7166427767734982
75,Beam_X,Centro,0.0,0.0,2.25,0.0,-2.9482359986053663,1.302724662447821
75,Beam_X,Final,1.8353219750956982,-0.8684831082985474,0.2845093342630891,-1.025413297189237e-19,-1.9775862981897774,0.8888065481221441
76,Beam_X,Inicio,-2.0988074002078636,-0.3095949223231058,3.2822401979701605,5.648428845359106e-20,-1.7684593915042155,-0.44373847457055815
76,Beam_X,Centro,0.0,0.0,3.75,0.0,1.1693995050745989,-0.7739873058077645
76,Beam_X,Final,2.0988074002078636,0.3095949223231058,4.21775980202984,-5.648428845359106e-20,4.1072584016534135,-1.104236137044971
77,Beam_X,Inicio,-1.8353219405581138,-0.41234403094004746,4.24045189705058,2.7211788264909185e-21,-3.9493973379140046,-1.5318572792474159
77,Beam_X,Centro,0.0,0.0,2.25,0.0,-2.98567784557587,-0.6185160464100712
77,Beam_X,Final,1.8353219405581138,0.41234403094004746,0.25954810294942,-2.7211788264909185e-21,-2.0219583532377357,0.2948251864272735
78,Beam_X,Inicio,-2.098807357093249,0.07967926128093657,3.275725600813753,9.319389995587508e-20,-1.743909685645904,-0.6995892745101447
78,Beam_X,Centro,0.0,0.0,3.75,0.0,1.1856859979656176,0.1991981532023414
78,Beam_X,Final,2.098807357093249,-0.07967926128093657,4.224274399186247,-9.319389995587508e-20,4.115281681577139,1.0979855809148276
79,Beam_X,Inicio,-1.8353215546485553,-1.5202803191850294,4.227117060048346,-9.129308647165542e-20,-3.932772449880776,-4.5345706573298985
79,Beam_X,Centro,0.0,0.0,2.25,0.0,-2.9656755900725185,-2.280420478777544
79,Beam_X,Final,1.8353215546485553,1.5202803191850294,0.27288293995165436,9.129308647165542e-20,-1.9985787302642608,-0.026270300225189835
80,Beam_X,Inicio,-2.0988069960952003,0.4466151874016058,3.2786543469465688,1.1958908678330725e-19,-1.7551066364754093,-1.0501100131325525
80,Beam_X,Centro,0.0,0.0,3.75,0.0,1.1783641326335783,1.1165379685040144
80,Beam_X,Final,2.0988069960952003,-0.4466151874016058,4.221345653053431,-1.1958908678330725e-19,4.111834901742566,3.2831859501405813
81,Beam_X,Inicio,-1.8353209594208675,-1.9903194118000322,3.769156821743926,-1.0682398043552988e-19,-3.2915845990755495,-5.185111671676054
81,Beam_X,Centro,0.0,0.0,2.25,0.0,-2.278735232615889,-2.9854791177000486
81,Beam_X,Final,1.8353209594208675,1.9903194118000322,0.730843178256074,1.0682398043552988e-19,-1.2658858661562284,-0.7858465637240428
82,Beam_X,Inicio,-2.098806452618813,0.6241723773168142,3.329336917726563,1.2568385886384942e-19,-1.9217134297344682,-0.5328654692055439
