Elemento,Tipo,Nodo_I,Nodo_J,X_I,Y_I,Z_I,X_J,Y_J,Z_J,Longitud,N_I,Vy_I,Vz_I,T_I,My_I,Mz_I,N_Centro,Vy_Centro,Vz_Centro,T_Centro,My_Centro,Mz_Centro,N_J,Vy_J,Vz_J,T_J,My_J,Mz_J
65,Viga_X,21,27,0.0000,18.0000,4.0000,5.0000,18.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
66,Viga_X,23,29,5.0000,0.0000,4.0000,10.0000,0.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
67,Viga_X,24,30,5.0000,5.0000,4.0000,10.0000,5.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
68,Viga_X,25,31,5.0000,10.0000,4.0000,10.0000,10.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
69,Viga_X,26,32,5.0000,15.0000,4.0000,10.0000,15.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
70,Viga_X,27,33,5.0000,18.0000,4.0000,10.0000,18.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
83,Viga_X,16,22,0.0000,-0.6000,4.0000,5.0000,-0.6000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
84,Viga_X,22,28,5.0000,-0.6000,4.0000,10.0000,-0.6000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
85,Viga_X,35,41,0.0000,0.0000,7.0000,5.0000,0.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
86,Viga_X,36,42,0.0000,5.0000,7.0000,5.0000,5.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
87,Viga_X,37,43,0.0000,10.0000,7.0000,5.0000,10.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
88,Viga_X,38,44,0.0000,15.0000,7.0000,5.0000,15.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
89,Viga_X,39,45,0.0000,18.0000,7.0000,5.0000,18.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
