Elemento,Tipo,Nodo_I,Nodo_J,X_I,Y_I,Z_I,X_J,Y_J,Z_J,Longitud,N_I,Vy_I,Vz_I,T_I,My_I,Mz_I,N_Centro,Vy_Centro,Vz_Centro,T_Centro,My_Centro,Mz_Centro,N_J,Vy_J,Vz_J,T_J,My_J,Mz_J
50,Viga_X,18,19,5.0000,0.0000,3.0000,11.0000,0.0000,3.0000,6.0000,-2.8676,0.0000,4.5000,0.0000,-4.4437,-0.0676,0.0000,0.0000,4.5000,0.0000,-0.0000,0.0000,2.8676,-0.0000,4.5000,-0.0000,4.4437,0.0676
51,Viga_X,19,20,11.0000,0.0000,3.0000,16.0000,0.0000,3.0000,5.0000,-1.5088,-0.4490,3.5128,-0.0000,-2.5196,-1.1620,0.0000,0.0000,3.7500,0.0000,0.5929,-1.1225,1.5088,0.4490,3.9872,0.0000,3.7054,-1.0831
52,Viga_X,21,22,0.0000,4.0000,3.0000,5.0000,4.0000,3.0000,5.0000,-1.5088,0.5795,4.1611,0.0000,-4.1391,1.4113,0.0000,0.0000,3.7500,0.0000,-1.0277,1.4487,1.5088,-0.5795,3.3389,-0.0000,2.0838,1.4862
53,Viga_X,22,23,5.0000,4.0000,3.0000,11.0000,4.0000,3.0000,6.0000,-2.8676,0.0000,4.5000,0.0000,-4.3671,-0.1333,0.0000,0.0000,4.5000,0.0000,-0.0000,0.0000,2.8676,-0.0000,4.5000,-0.0000,4.3671,0.1333
54,Viga_X,23,24,11.0000,4.0000,3.0000,16.0000,4.0000,3.0000,5.0000,-1.5088,-0.5795,3.3389,-0.0000,-2.0838,-1.4862,0.0000,0.0000,3.7500,0.0000,1.0277,-1.4487,1.5088,0.5795,4.1611,0.0000,4.1391,-1.4113
55,Viga_X,25,26,0.0000,9.0000,3.0000,5.0000,9.0000,3.0000,5.0000,-1.5088,-0.5795,4.1611,-0.0000,-4.1391,-1.4113,0.0000,0.0000,3.7500,0.0000,-1.0277,-1.4487,1.5088,0.5795,3.3389,0.0000,2.0838,-1.4862
56,Viga_X,26,27,5.0000,9.0000,3.0000,11.0000,9.0000,3.0000,6.0000,-2.8676,0.0000,4.5000,0.0000,-4.3671,0.1333,0.0000,0.0000,4.5000,0.0000,-0.0000,0.0000,2.8676,-0.0000,4.5000,-0.0000,4.3671,-0.1333
57,Viga_X,27,28,11.0000,9.0000,3.0000,16.0000,9.0000,3.0000,5.0000,-1.5088,0.5795,3.3389,0.0000,-2.0838,1.4862,0.0000,0.0000,3.7500,0.0000,1.0277,1.4487,1.5088,-0.5795,4.1611,-0.0000,4.1391,1.4113
58,Viga_X,29,30,0.0000,13.0000,3.0000,5.0000,13.0000,3.0000,5.0000,-1.5088,-0.4490,3.9872,-0.0000,-3.7054,-1.0831,0.0000,0.0000,3.7500,0.0000,-0.5929,-1.1225,1.5088,0.4490,3.5128,0.0000,2.5196,-1.1620
59,Viga_X,30,31,5.0000,13.0000,3.0000,11.0000,13.0000,3.0000,6.0000,-2.8676,0.0000,4.5000,-0.0000,-4.4437,0.0676,0.0000,0.0000,4.5000,0.0000,-0.0000,0.0000,2.8676,-0.0000,4.5000,0.0000,4.4437,-0.0676
